"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 25 23:59:43 GMT+04:00 2022","Tue Apr 26 00:00:11 GMT+04:00 2022","27505","","com.elena.SelenideTest","","com.elena.SelenideTest","testGithubIssue","Хороший тест",""
"passed","Tue Apr 26 00:45:56 GMT+04:00 2022","Tue Apr 26 00:46:11 GMT+04:00 2022","14714","","com.elena.LambdaStepTest","","com.elena.LambdaStepTest","testGithubIssue","testGithubIssue()",""
